RecordID,LotRoadFrontageSF,LotAreaSF,OverallQuality,OverallCondition,Age,BasementFinishedSF,BasementUnfinishedSF,TotalBasementSF,CentralAir,FirstFloorSF,SecondFloorSF,LowQualityFinishedSF,TotalLivingAreaSF,FullBath,HalfBath,BedroomAbvGround,KitchenAbvGround,TotalRoomsAbvGround,Fireplaces,GarageType,GarageCars,GarageSF,WoodDeckSF,TotalPorchSF,SalePrice
23,0,7500,7,5,10,533,281,814,Y,814,860,0,1674,2,1,3,1,7,0,Attached,2,663,0,96,216000
24,0,11241,6,7,40,578,426,1004,Y,1004,0,0,1004,1,0,2,1,5,1,Attached,2,480,0,0,149000
25,0,12537,5,6,39,734,344,1078,Y,1078,0,0,1078,1,1,3,1,6,1,Attached,2,500,0,0,149900
26,65,8450,5,6,42,775,281,1056,Y,1056,0,0,1056,1,0,3,1,6,1,Attached,1,304,0,269,142000
27,70,8400,4,5,40,882,0,882,Y,882,0,0,882,1,0,2,1,4,0,Attached,2,525,240,0,126000
28,70,10500,4,5,39,432,432,864,Y,864,0,0,864,1,0,3,1,5,1,None,0,0,0,0,115000
29,26,5858,7,5,11,1051,354,1405,Y,1337,0,0,1337,2,0,2,1,5,1,Attached,2,511,203,68,184000
30,21,1680,6,5,39,156,327,483,Y,483,504,0,987,1,1,2,1,5,0,Detached,1,264,275,0,96000
31,21,1680,5,5,39,300,225,525,Y,525,567,0,1092,1,1,3,1,6,0,Detached,1,320,0,0,105500
32,21,1680,6,5,39,0,525,525,Y,525,567,0,1092,1,1,3,1,6,0,Detached,1,264,0,0,88000
33,53,4043,6,5,33,360,709,1069,Y,1069,0,0,1069,2,0,2,1,4,1,Attached,2,440,0,220,127500
34,24,2280,6,6,35,514,341,855,Y,855,601,0,1456,2,1,3,1,6,1,Attached,2,440,173,0,149900
35,24,2280,7,6,35,0,836,836,Y,836,0,0,836,1,0,2,1,4,0,Attached,1,308,0,30,120000
36,24,2280,6,5,32,311,544,855,Y,855,601,0,1456,2,1,3,1,7,1,Attached,2,440,26,0,146000
37,102,12858,9,5,1,0,1590,1590,Y,1627,707,0,2334,2,1,3,1,10,1,Attached,3,751,144,133,376162
38,98,11478,8,5,3,1218,486,1704,Y,1704,0,0,1704,2,0,3,1,7,1,Attached,3,772,0,50,306000
39,83,10159,9,5,1,1646,284,1930,Y,1940,0,0,1940,2,1,3,1,8,1,Attached,3,606,168,95,395192
40,94,12883,8,5,1,0,1544,1544,Y,1544,0,0,1544,2,0,3,1,7,0,Attached,3,868,0,35,290941
41,95,12182,7,5,5,1201,340,1541,Y,1541,0,0,1541,2,0,3,1,7,1,Attached,2,532,0,70,220000
42,90,11520,9,5,5,110,1588,1698,Y,1698,0,0,1698,2,0,3,1,7,1,Attached,3,730,192,74,275000
43,79,14122,8,5,5,28,1794,1822,Y,1822,0,0,1822,2,0,3,1,8,1,Attached,3,678,0,119,259000
44,70,10171,7,5,6,2,1515,1517,Y,1535,0,0,1535,2,0,3,1,7,0,Attached,2,532,0,0,214000
45,100,12919,9,5,1,2188,142,2330,Y,2364,0,0,2364,2,1,2,1,11,2,Attached,3,820,0,67,611657
46,44,6371,7,5,1,733,625,1358,Y,1358,0,0,1358,2,0,2,1,6,1,Attached,2,484,192,35,224000
47,110,14300,9,5,7,1373,1473,2846,Y,2696,0,0,2696,2,1,3,1,10,2,Attached,3,958,220,150,500000
48,105,13650,8,5,8,578,1093,1671,Y,1687,563,0,2250,2,1,3,1,7,1,Attached,3,756,238,130,320000
49,61,7658,9,5,5,456,1296,1752,Y,1752,0,0,1752,2,0,2,1,6,1,Attached,2,576,196,82,319900
50,41,7132,8,5,4,24,1346,1370,Y,1370,0,0,1370,2,0,2,1,6,1,Attached,2,484,120,49,205000
51,36,2628,7,5,7,0,764,764,Y,764,862,0,1626,2,1,2,1,6,0,Attached,2,474,0,27,175500
52,100,18494,6,5,5,0,1324,1324,Y,1324,0,0,1324,2,0,3,1,6,0,Attached,2,430,36,23,199500
53,43,3203,7,5,4,16,1129,1145,Y,1145,0,0,1145,2,0,2,1,6,0,Attached,2,437,100,116,160000
54,43,3182,8,5,6,24,1232,1256,Y,1269,0,0,1269,2,0,2,1,6,1,Attached,2,430,146,164,192000
55,67,13300,7,5,6,326,58,384,Y,744,630,0,1374,2,1,3,1,7,1,Attached,2,400,100,0,184500
56,0,7851,6,5,8,625,235,860,Y,860,1100,0,1960,2,1,4,1,8,2,Attached,2,440,288,48,216500
57,63,8577,7,5,6,0,847,847,Y,847,886,0,1733,2,1,3,1,7,1,Attached,2,433,144,48,185088
58,0,7750,7,5,10,250,134,384,Y,774,656,0,1430,2,1,3,1,7,1,Attached,2,400,180,0,180000
59,0,9505,7,5,9,0,884,884,Y,884,1151,0,2035,2,1,3,1,8,1,Attached,2,434,144,48,222500
60,108,14774,9,5,11,0,1393,1393,Y,1422,1177,0,2599,2,1,4,1,10,1,Attached,3,779,668,30,333168
61,60,17433,8,5,12,0,1629,1629,Y,1645,830,0,2475,2,1,4,1,7,1,Attached,3,962,23,428,355000
62,59,10593,7,5,14,919,801,1720,Y,1720,0,0,1720,2,0,3,1,7,1,Attached,2,527,240,210,260400
63,98,12256,8,5,16,1032,431,1463,Y,1500,1122,0,2622,2,1,3,1,9,2,Attached,2,712,186,32,325000
64,92,11764,8,7,11,524,628,1152,Y,1164,1106,0,2270,2,1,4,1,9,1,Attached,3,671,132,57,290000
65,58,16770,7,5,12,0,1195,1195,Y,1195,644,0,1839,2,1,4,1,7,0,Attached,2,486,0,81,221000
66,56,14720,8,5,15,816,1217,2033,Y,2053,1185,0,3238,2,1,4,1,9,1,Attached,3,666,283,86,410000
67,73,8987,8,5,5,0,1595,1595,Y,1595,0,0,1595,2,0,2,1,6,1,Attached,3,880,144,0,221500
68,92,9215,7,5,1,0,1218,1218,Y,1218,0,0,1218,2,0,2,1,4,0,Attached,2,676,0,136,204500
69,72,8640,7,5,1,24,732,756,Y,764,783,0,1547,2,1,3,1,7,0,Attached,2,614,169,45,215200
70,75,9000,8,5,2,1078,488,1566,Y,1566,0,0,1566,2,0,3,1,7,0,Attached,2,750,144,168,262500
71,100,12552,7,5,6,222,769,991,Y,991,956,0,1947,2,1,3,1,8,1,Attached,2,678,0,136,254900
72,84,10440,6,5,5,1414,54,1468,Y,1468,0,0,1468,2,0,2,1,6,1,Attached,2,528,0,318,271500
73,76,10142,7,5,6,656,300,956,Y,956,1128,0,2084,2,1,4,1,8,0,Attached,2,618,0,45,233000
74,70,11920,7,5,6,0,831,831,Y,831,828,0,1659,2,1,3,1,8,0,Attached,2,484,144,68,181000
75,0,8880,7,5,16,695,253,948,Y,1222,888,0,2110,2,1,3,1,8,2,Attached,2,463,0,130,205000
76,50,8012,6,5,30,662,261,923,Y,923,0,0,923,2,0,2,1,5,1,Attached,1,264,80,0,143000
77,70,11218,6,5,18,0,1055,1055,Y,1055,790,0,1845,2,1,3,1,8,1,Attached,2,462,635,104,189000
78,55,7892,6,5,31,0,918,918,Y,918,0,0,918,2,0,2,1,5,1,Attached,1,264,28,0,99500
79,50,7175,6,5,26,744,0,744,Y,752,0,0,752,1,0,2,1,4,0,Attached,1,264,353,90,125000
80,0,9453,7,7,17,402,594,996,Y,1014,730,0,1744,2,1,3,1,7,0,Attached,2,457,370,70,194500
81,81,9672,6,5,26,338,702,1040,Y,1097,0,0,1097,2,0,3,1,6,0,Attached,2,480,0,0,152000
82,70,8400,6,6,30,0,650,650,Y,888,676,0,1564,2,1,3,1,7,1,Attached,2,476,0,254,171000
83,70,9800,5,5,90,0,816,816,N,1012,0,0,1012,1,0,2,1,5,0,Detached,1,429,121,80,67500
84,68,8930,6,5,32,0,0,0,Y,1318,584,0,1902,2,0,4,2,8,0,Attached,2,539,0,0,112000
85,88,11782,5,7,49,899,210,1109,Y,1155,0,0,1155,1,0,3,1,6,0,Detached,2,576,192,0,148000
86,65,8450,5,8,45,670,224,894,Y,894,0,0,894,1,0,3,1,5,1,Detached,1,336,416,144,138500
87,0,9819,5,5,43,450,432,882,Y,900,0,0,900,1,0,3,1,5,0,Detached,1,280,0,0,122000
88,75,7500,5,5,47,824,216,1040,Y,1040,0,0,1040,1,1,3,1,5,0,Attached,1,308,0,220,133000
89,0,6897,5,8,48,659,381,1040,Y,1040,0,0,1040,1,1,3,1,6,0,Detached,1,260,0,104,127000
90,39,15410,6,6,36,985,223,1208,Y,1494,0,0,1494,2,0,3,1,7,2,Attached,2,461,296,186,169000
91,107,10186,7,5,18,674,76,750,Y,1061,862,0,1923,2,1,3,1,8,1,Attached,2,564,240,39,190000
92,85,13143,8,5,17,1231,0,1231,Y,1251,1098,0,2349,2,1,4,1,9,1,Attached,3,762,32,130,362500
93,88,11134,8,5,18,1129,261,1390,Y,1402,823,0,2225,2,1,4,1,7,1,Attached,3,713,198,30,285000
94,25,4835,7,5,6,1298,190,1488,Y,1488,0,0,1488,2,0,2,1,6,1,Attached,2,506,168,50,260000
95,39,3515,7,5,6,0,840,840,Y,840,840,0,1680,2,1,2,1,3,0,Attached,2,588,0,111,190000
96,30,3215,7,5,6,280,320,600,Y,600,600,0,1200,2,1,2,1,4,0,Detached,2,480,0,172,155000
97,30,3182,7,5,6,0,600,600,Y,600,600,0,1200,2,1,2,1,4,0,Detached,2,480,0,172,151000
98,24,2544,7,5,6,410,190,600,Y,600,600,0,1200,2,1,2,1,4,0,Detached,2,480,0,172,149500
99,24,2544,6,5,5,376,224,600,Y,600,636,0,1236,2,1,2,1,4,0,Detached,2,480,0,166,152000
100,0,4403,7,5,1,578,892,1470,Y,1478,0,0,1478,2,1,2,1,7,1,Attached,2,484,0,144,222000
101,0,2117,6,5,10,378,378,756,Y,769,804,0,1573,2,1,3,1,5,0,Detached,2,440,0,32,177500
102,0,2980,6,5,10,466,290,756,Y,756,756,0,1512,2,1,2,1,5,0,Detached,2,440,0,32,177000
103,24,2572,7,5,11,604,92,696,Y,696,720,0,1416,2,1,3,1,6,0,Detached,2,484,0,44,155000
104,0,2403,7,5,7,244,286,530,Y,530,550,0,1080,2,1,2,1,4,0,Attached,2,496,0,50,147110
105,57,12853,8,5,0,1032,610,1642,Y,1418,0,0,1418,1,1,1,1,6,1,Attached,3,852,160,192,267916
106,68,7379,8,5,10,484,491,975,Y,975,873,0,1848,2,1,3,1,7,1,Attached,2,592,280,184,254000
107,30,4420,8,5,30,728,0,728,Y,788,0,0,788,1,0,1,1,3,1,Detached,2,484,133,42,155000
108,40,3880,8,6,32,1052,174,1226,Y,1226,0,0,1226,1,0,1,1,4,1,Attached,2,484,223,78,206000
109,0,13517,6,8,34,533,192,725,Y,725,754,0,1479,2,1,3,1,6,0,Attached,2,475,0,44,130500
110,80,8000,7,5,8,833,659,1492,Y,1492,0,0,1492,2,0,3,1,6,1,Attached,2,596,277,137,230000
111,0,10456,6,6,43,506,1323,1829,Y,1829,0,0,1829,2,0,4,1,8,0,Attached,2,535,0,76,218500
112,80,10791,6,5,17,1137,143,1280,Y,1280,1215,0,2495,2,1,4,1,9,1,Attached,2,660,224,32,243500
113,0,10603,6,7,33,1200,410,1610,Y,1610,0,0,1610,2,0,3,1,6,2,Attached,2,480,168,68,205000
114,0,18837,6,5,32,733,491,1224,Y,1287,604,0,1891,3,0,3,1,7,1,Attached,2,678,0,69,212500
115,80,10421,7,5,22,394,586,980,Y,980,734,0,1714,2,1,3,1,7,1,Attached,2,496,228,222,196500
116,78,9360,6,7,38,982,179,1161,Y,1381,0,0,1381,1,1,3,1,5,1,Attached,2,676,0,0,197500
117,80,9600,6,6,39,329,386,715,Y,930,715,0,1645,1,2,4,1,7,0,Attached,2,441,0,78,171000
118,80,9600,5,5,44,698,534,1232,Y,1232,0,0,1232,1,1,3,1,6,0,Attached,2,490,0,224,142250
119,0,9790,6,5,47,650,678,1328,Y,1328,0,0,1328,1,1,3,1,6,2,Attached,2,528,0,26,143000
120,77,9320,4,5,51,569,381,950,Y,1225,0,0,1225,1,1,3,1,6,0,None,0,0,352,0,128950
121,90,9900,5,5,44,1059,150,1209,Y,1209,0,0,1209,1,0,3,1,6,0,Attached,2,504,0,120,159000
122,88,9680,5,6,43,1010,500,1510,Y,1510,0,0,1510,2,0,3,1,6,0,Attached,2,517,0,244,178900
123,0,10600,6,5,46,0,533,533,Y,1131,644,0,1775,2,0,3,1,8,0,Attached,2,480,0,172,136300
124,0,14112,5,7,46,1014,138,1152,Y,1152,0,0,1152,1,0,3,1,6,1,Attached,2,484,227,0,180500
125,80,8800,6,7,47,763,173,936,Y,1054,0,0,1054,1,0,3,1,6,0,Attached,2,480,120,0,137500
126,98,13260,5,6,48,1500,228,1728,Y,1728,0,0,1728,2,0,6,2,10,0,None,0,0,0,0,84900
127,68,9717,5,6,60,1078,0,1078,Y,1078,0,0,1078,1,0,2,1,5,0,Attached,1,240,366,112,142125
128,68,9724,5,7,58,670,470,1140,Y,1929,532,0,2461,2,0,3,1,7,2,Detached,2,400,0,0,197600
129,120,17360,6,6,61,300,482,782,Y,1019,537,0,1556,2,0,3,1,6,1,Attached,2,470,0,150,172500
130,50,7207,5,7,52,696,162,858,Y,858,0,0,858,1,0,2,1,4,0,None,0,0,117,0,116500
131,55,5350,3,2,70,0,728,728,Y,1306,0,0,1306,1,0,3,1,6,0,None,0,0,263,0,76500
132,80,9920,5,5,56,644,412,1056,Y,1063,0,0,1063,1,0,3,1,6,0,Attached,1,280,0,164,128000
133,80,9600,6,6,55,806,350,1156,Y,1520,0,0,1520,1,0,3,1,7,2,Attached,1,364,0,189,153000
134,78,7800,5,6,56,540,728,1268,Y,1268,0,0,1268,1,0,2,1,7,1,Attached,1,244,0,98,132000
135,75,11380,6,8,44,944,136,1080,Y,1128,0,0,1128,1,0,2,1,5,1,Attached,1,315,238,0,178000
136,80,11600,5,5,50,443,662,1105,Y,1105,1169,0,2274,2,0,5,2,12,0,Detached,2,480,0,0,154300
137,0,19900,7,5,40,912,1035,1947,Y,2207,0,0,2207,2,0,3,1,7,1,Attached,2,576,301,0,180000
138,137,16492,6,6,44,960,557,1517,Y,1888,0,0,1888,2,1,2,1,6,1,Attached,2,578,0,0,190000
139,70,8267,5,5,52,0,1604,1604,Y,1604,0,0,1604,2,0,4,2,8,0,Attached,2,576,42,0,135000
140,70,8197,7,5,7,1188,292,1480,Y,1480,0,0,1480,2,0,3,1,7,0,Attached,2,620,252,73,214000
141,0,8050,5,5,51,1018,125,1143,Y,1143,0,0,1143,1,0,3,1,6,0,Attached,1,308,0,0,136000
142,70,10552,5,5,51,1018,380,1398,Y,1700,0,0,1700,1,1,4,1,6,1,Attached,2,447,0,38,165500
143,70,8400,5,6,53,922,392,1314,Y,1314,0,0,1314,1,0,3,1,5,0,Attached,1,294,250,0,145000
144,73,8760,6,6,51,0,1194,1194,Y,1194,0,0,1194,1,0,3,1,6,0,Attached,1,312,0,120,148000
145,0,12160,5,5,51,1000,188,1188,Y,1188,0,0,1188,1,0,3,1,6,0,Attached,2,531,0,0,142000
146,73,9300,5,5,50,697,571,1268,Y,1264,0,0,1264,1,0,3,1,6,2,Attached,2,461,0,143,167500
147,87,10725,5,5,51,936,270,1206,Y,1206,0,0,1206,1,0,3,1,6,0,Attached,1,312,0,21,108538
148,80,10032,6,5,51,734,510,1244,Y,1580,0,0,1580,1,1,3,1,6,2,Attached,2,440,0,188,159500
149,60,8382,4,5,54,0,832,832,Y,832,505,0,1337,1,0,3,1,5,0,Attached,1,263,0,0,108000
150,60,10950,5,7,58,339,525,864,Y,1064,0,0,1064,1,0,2,1,4,0,Detached,1,318,0,0,135000
151,119,10895,5,6,55,648,324,972,Y,972,0,0,972,1,0,3,1,5,0,Attached,1,305,0,205,122500
152,70,13587,5,5,52,532,456,988,Y,988,0,0,988,1,0,2,1,5,0,Attached,1,264,0,0,119000
153,68,7922,5,7,57,731,326,1057,Y,1057,0,0,1057,1,0,3,1,5,0,Detached,1,246,0,52,109000
154,65,7898,4,7,90,0,576,576,Y,985,0,0,985,1,0,2,1,4,0,Detached,2,676,0,0,105000
155,60,7200,5,7,55,0,0,0,Y,827,0,0,827,1,0,2,1,5,1,Detached,1,392,0,0,107500
156,85,10200,5,7,56,682,404,1086,Y,1086,0,0,1086,1,0,3,1,6,0,Attached,2,490,0,0,144900
157,74,5868,5,7,54,488,448,936,Y,936,0,0,936,1,0,2,1,4,0,Attached,1,308,0,240,129000
158,78,17503,6,5,62,0,912,912,Y,912,546,0,1458,1,0,3,1,6,1,Attached,1,330,192,0,97500
159,64,6979,6,5,30,1056,0,1056,Y,1056,0,0,1056,0,0,0,2,4,0,Detached,2,576,264,56,144000
160,0,9830,5,7,51,330,733,1063,Y,1287,0,0,1287,1,0,3,1,7,1,Detached,2,576,364,199,162000
161,96,11275,7,7,43,0,710,710,Y,1898,1080,0,2978,2,1,5,1,11,1,Attached,2,564,240,0,242000
162,60,8064,6,8,62,655,161,816,Y,816,408,0,1224,1,0,3,1,5,0,Detached,1,280,414,0,132000
163,75,7500,5,7,51,1246,0,1246,Y,1246,0,0,1246,1,1,3,1,6,0,Attached,1,305,218,0,154000
164,71,8520,5,4,58,507,403,910,Y,910,475,0,1385,2,0,4,1,6,0,Detached,2,720,0,0,166000
165,60,7200,5,7,59,720,180,900,Y,900,0,0,900,1,0,3,1,5,0,Detached,2,576,222,32,134800
166,87,10000,6,6,48,0,1116,1116,Y,1116,0,0,1116,1,1,3,1,5,0,Attached,2,440,0,385,160000
167,81,7635,5,6,50,938,237,1175,Y,1175,0,0,1175,1,1,3,1,6,0,Detached,2,484,0,0,148000
168,80,9760,6,7,47,980,415,1395,Y,1395,0,0,1395,1,0,2,1,7,1,Attached,2,440,657,353,192000
169,70,7700,6,5,44,0,756,756,Y,1051,788,0,1839,1,1,4,1,7,1,Attached,2,442,0,340,155000
170,60,4800,4,5,110,48,661,709,Y,1157,687,0,1844,1,0,3,1,9,2,Attached,1,240,84,0,80400
171,55,8800,4,7,100,0,576,576,Y,792,348,0,1140,1,0,3,1,7,0,None,0,0,0,160,96500
172,56,4485,5,7,90,579,357,936,Y,936,0,0,936,1,0,2,1,5,1,None,0,0,51,135,109500
173,56,8960,5,6,83,0,1008,1008,Y,1028,0,0,1028,1,0,2,1,5,1,Detached,2,360,0,130,115000
174,69,5805,5,7,53,1347,0,1347,Y,1347,0,0,1347,1,0,3,1,6,0,Detached,2,551,0,0,143000
175,60,5790,3,6,95,0,840,840,N,840,765,0,1605,2,0,3,2,8,0,Detached,1,379,0,202,107400
176,47,4608,4,6,65,0,747,747,Y,747,0,0,747,1,0,2,1,4,0,Attached,1,220,0,0,80000
177,60,7200,5,7,70,510,278,788,Y,804,0,0,804,1,0,2,1,4,2,Attached,1,240,0,154,119000
178,50,5500,5,7,81,926,0,926,Y,926,0,390,1316,1,0,3,1,6,0,Detached,2,484,0,0,130000
179,50,6900,6,7,72,0,827,827,Y,827,424,0,1251,1,0,3,1,6,0,Detached,1,240,0,0,119000
180,69,11851,5,7,62,780,247,1027,Y,1027,606,0,1633,1,0,3,1,7,1,Detached,1,240,0,226,129000
181,0,8239,5,6,90,176,832,1008,Y,1060,185,0,1245,1,0,3,1,6,0,Detached,1,315,0,334,100000
182,68,9656,2,2,87,0,678,678,N,832,0,0,832,1,0,2,1,5,1,Detached,2,780,0,0,12789
183,60,8520,6,8,82,0,624,624,Y,720,0,0,720,1,0,2,1,5,0,Detached,2,484,106,0,105900
184,60,9600,8,9,110,0,930,930,N,930,636,0,1566,2,0,3,1,7,0,Detached,1,288,54,474,150000
185,60,10800,5,6,95,686,0,686,Y,966,686,0,1652,2,0,4,1,7,0,Detached,1,416,0,196,139000
186,50,9000,8,9,120,0,346,346,Y,1157,1111,0,2268,3,0,3,1,7,0,Detached,2,624,0,108,240000
187,100,9045,5,3,100,0,840,840,N,1128,1128,0,2256,2,0,4,2,12,0,None,0,0,0,36,76500
188,90,7407,6,7,53,600,312,912,Y,1236,0,0,1236,1,0,2,1,6,0,Attached,2,923,0,316,149700
189,60,7740,4,7,100,0,622,622,Y,741,622,0,1363,1,0,3,1,6,0,Detached,2,528,0,168,125500
190,60,11340,4,6,125,0,777,777,Y,1246,1044,0,2290,2,0,4,2,11,0,Detached,2,560,0,114,122500
191,60,10560,6,7,88,283,455,738,Y,868,602,0,1470,1,1,2,1,6,0,Detached,2,624,0,0,140750
192,53,5830,5,6,60,788,200,988,Y,1030,582,0,1612,1,1,3,1,7,0,Detached,1,363,0,0,128500
193,0,7793,7,7,88,474,634,1108,N,1160,908,0,2068,1,1,3,1,8,1,Detached,1,315,0,60,209500
194,50,5000,4,7,85,188,577,765,N,765,0,0,765,1,0,2,1,4,0,Detached,1,200,135,41,87000
195,50,6000,6,7,71,464,144,608,Y,608,524,0,1132,1,0,2,1,5,0,Detached,1,240,0,128,134000
196,50,6000,6,6,70,264,308,572,Y,848,348,0,1196,1,1,3,1,6,2,Detached,2,576,0,0,128000
197,53,6360,5,6,68,519,316,835,Y,955,498,0,1453,1,1,3,1,7,2,Detached,1,240,0,183,132000
198,50,6000,6,7,62,300,480,780,Y,780,636,0,1416,1,1,3,1,6,0,Detached,1,312,221,48,139900
199,52,6240,5,7,74,276,252,528,Y,548,492,0,1040,1,0,2,1,5,0,Detached,2,624,306,32,123900
200,52,6240,5,5,80,448,480,928,Y,928,608,0,1536,2,0,4,1,7,1,Detached,2,480,0,10,138400
201,51,6120,6,5,87,960,164,1124,Y,1068,0,0,1068,1,0,2,1,5,1,Detached,1,288,0,128,109500
202,50,10300,7,6,89,0,576,576,Y,902,808,0,1710,2,0,3,1,9,0,Detached,2,480,12,75,140000
203,57,8094,4,5,95,0,888,888,Y,888,1074,0,1962,1,1,4,1,9,1,Detached,2,572,160,364,149500
204,60,12900,6,8,98,0,780,780,Y,780,780,0,1560,1,1,3,1,7,0,None,0,0,344,168,159900
205,52,3068,6,8,90,0,662,662,Y,662,662,0,1324,1,0,3,1,6,0,Detached,1,180,0,112,122000
206,110,8472,5,5,47,816,0,816,N,816,0,0,816,1,0,2,1,5,0,CarPort,2,516,106,0,110000
207,70,5600,4,5,80,0,0,0,N,372,720,0,1092,2,0,3,2,7,0,None,0,0,0,0,55000
208,76,7630,5,9,110,0,360,360,Y,1032,780,0,1812,2,0,4,2,8,1,Detached,2,672,344,40,140000
209,0,24090,7,7,70,0,1032,1032,Y,1207,1196,0,2403,2,0,4,1,10,2,Attached,1,349,56,318,244400
210,100,15263,5,5,51,766,656,1422,Y,1675,0,0,1675,2,0,3,1,8,2,Attached,1,365,0,132,173000
211,72,10632,5,3,93,0,689,689,N,725,499,0,1224,1,1,3,1,6,0,Detached,1,180,0,248,107500
212,60,9900,5,4,95,1026,186,1212,N,1212,180,0,1392,1,0,3,1,6,0,None,0,0,0,168,100000
213,65,6001,6,5,70,368,232,600,N,600,319,0,919,1,0,3,1,5,0,Detached,1,231,0,45,95000
214,0,6449,4,1,103,73,634,707,N,942,942,0,1884,1,1,4,1,7,0,None,0,0,0,239,93369
215,60,6048,5,7,100,736,120,856,Y,936,744,0,1680,2,0,2,2,7,1,Detached,2,450,56,144,114900
216,54,6342,5,8,135,0,780,780,N,780,240,0,1020,1,0,2,1,6,0,None,0,0,0,176,94000
217,72,10773,4,3,43,704,1128,1832,N,1832,0,0,1832,2,0,4,2,8,0,None,0,0,0,58,136000
218,72,10778,4,5,42,0,1768,1768,N,1768,0,0,1768,2,0,4,2,8,0,None,0,0,0,0,136500
219,75,11625,5,4,45,841,198,1039,Y,1039,0,0,1039,1,1,3,1,6,0,Attached,2,504,0,0,131500
220,0,11341,5,6,53,1302,90,1392,Y,1392,0,0,1392,1,1,3,1,5,1,Detached,2,528,0,95,121500
221,70,8521,5,5,43,842,70,912,Y,912,0,0,912,1,0,3,1,5,1,Detached,1,336,0,0,125000
222,0,8246,5,8,42,856,204,1060,Y,1060,0,0,1060,1,0,3,1,6,1,Attached,1,270,406,90,154000
223,65,7800,5,7,44,714,150,864,Y,892,0,0,892,1,0,3,1,5,0,Detached,1,416,0,0,137900
224,80,9364,6,7,41,371,292,663,Y,663,689,0,1352,1,1,4,1,7,0,Attached,1,299,379,36,158000
225,65,7832,5,5,42,775,89,864,Y,864,0,0,864,1,0,2,1,4,0,Detached,1,280,226,0,137250
226,0,7424,5,5,32,1319,0,1319,Y,1373,0,0,1373,1,0,3,1,5,2,Attached,2,591,0,0,160250
227,86,11227,5,5,42,720,0,720,Y,720,720,0,1440,1,1,4,1,7,2,Attached,2,480,192,38,163000
228,0,11616,6,5,32,438,234,672,Y,672,714,0,1386,2,1,3,1,6,1,Attached,2,440,335,0,158900
229,80,14000,7,5,14,1201,105,1306,Y,1306,954,0,2260,2,1,3,1,7,0,Attached,2,533,296,44,328000
